,,,chemicalFormula,Band gap values Clean,,,,,Reliability,,,,,,properties,references,Crystallinity value,,Band gap units,Band gap conditions,Band gap method,Morphology value,Temperature derivative of band gap value,Temperature derivative of band gap units,Temperature derivative of band gap conditions,Temperature derivative of band gap method,Color value,Electroluminescence value,Photoluminescence value,Thermoluminescence value,Phase values,Cathodoluminescence value,Mechanical luminescence value,Lasing value
867,868,,Cd1Se1,1.816,,1,1.816,4.2,2,879,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.816'}], 'units': 'eV', 'conditions': [{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
868,869,,Cd1Se1,1.83,,1,1.83,4.2,2,880,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.83'}], 'units': 'eV', 'conditions': [{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
869,870,,Cd1Se1,1.84,,1,1.84,4.2,2,881,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.84'}], 'units': 'eV', 'conditions': [{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
870,871,,Cd1Se1,1.865,,I,1.865,4.2,2,882,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.865'}], 'units': 'eV', 'conditions': [{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
871,872,,Cd1Se1,1.815,,1,1.815,77.0 -3.60e-04,2,883,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.815'}], 'units': 'eV', 'conditions': [{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.00036'}], 'units': 'eV/K', 'conditions': [{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Lasing', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Photoconduction,,-0.00036,eV/K,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Photoconduction,,,,,,,,TRUE
872,873,,Cd1Se1,1.821,,1,1.821,77,2,884,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.821'}], 'units': 'eV', 'conditions': [{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
873,874,,Cd1Se1,1.733,,I,1.733,293,2,885,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.733'}], 'units': 'eV', 'conditions': [{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
874,875,,Cd1Br2,4.47,,2,4.47,300,1,886,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '4.47'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
875,876,,Cd1In1,0.6,,1,0.6,300,1,887,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '0.6'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Estimated'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Estimated,,,,,,,,,,,,,
876,877,,Cd1Sb1,0.45,,1,0.45,300,1,888,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.45'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
877,878,,Cd4Sb3,1.25,,3,1.25,300,1,889,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.25'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
878,879,,Cd1Sb1,0.535,,1,0.535,.0 -3.56e-04,2,890,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.535'}], 'units': 'eV', 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.000356'}], 'units': 'eV/K', 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,,,,-0.000356,eV/K,,,,,,,,,,
879,880,,Cd1Sb1,0.57,,I,0.57,.0 -6.00e-04,2,891,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.57'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0006'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}]",Thermal activation,,-0.0006,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}]",Thermal activation,,,,,,,,
880,881,,Cd1Sb1,0.585,,1,0.585,78.0 -5.40e-04,2,892,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.585'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '78'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.00054'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '78'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '78'}], 'units': 'K'}]",Absorption,,-0.00054,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '78'}], 'units': 'K'}]",Absorption,,,,,,,,
881,882,,Cd1Sb1,0.428,,1,0.428,300.0 -3. 56e-04,2,893,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.428'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.000356'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,,-0.000356,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,,,,,,,,
882,883,,Cd1Sb1,0.43,,1,0.43,300,2,894,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.43'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
883,884,,Cd1Sb1,0.45,,1,0.45,300.0 -6.ooe-04,2,895,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.45'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0006'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,-0.0006,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
884,885,,Cd1Sb1,0.465,,1,0.465,300.0 -5.40e-04,2,896,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '0.465'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.00054'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,-0.00054,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
885,886,,Cd1Sb1,0.7,,1,0.7,300,2,897,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.7'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
886,887,,Cd1Te1,1.517,,I,1.517,300,1,898,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.517'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Electroreflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Electroreflection,,,,,,,,,,,,,
887,888,,Cd1Te1,1.595,,I,1.595,6,2,899,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.595'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '6'}], 'units': 'K'}], 'method': {'name': 'Electroreflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '6'}], 'units': 'K'}]",Electroreflection,,,,,,,,,,,,,
888,889,,Cd1Te1,1.594,,1,1.594,20,2,900,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.594'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '20'}], 'units': 'K'}], 'method': {'name': 'Electroreflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '20'}], 'units': 'K'}]",Electroreflection,,,,,,,,,,,,,
889,890,,Cd1Te1,1.58,,1,1.58,300,2,901,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.58'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
890,891,,Cd1I2,3.266,,2,3.266,300,1,902,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.266'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
891,892,,Cd1I2,3.857,,2,3.857,3OO.U,1,903,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.857'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
892,893,,Cd1I2,3.478,,2,3.478,77,2,904,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.478'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
893,894,,Cd1I2,3.8,,2,3.8,77,2,905,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.8'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
894,895,,Cd1I2,4.228,,2,4.228,80,2,906,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '4.228'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
895,896,,Cd1I2,3.2,,2,3.2,290.0 -1.50e-03,2,907,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.2'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '290'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0015'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '290'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '290'}], 'units': 'K'}]",Photoconduction,,-0.0015,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '290'}], 'units': 'K'}]",Photoconduction,,,,,,,,
896,897,,Cd1I2,3.19,,2,3.19,300.0 -1.20e-03,2,908,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.19'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0012'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Color', 'scalars': [{'value': 'White'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,-0.0012,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,White,,TRUE,,,,,
897,898,,Cd1I2,3.2,,2,3.2,300,2,909,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.2'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
898,899,,Cd1I2,6.25,,2,6.25,77,2,910,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '6.25'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Absorption,Thin film,,,,,,,,,,,,
899,900,,Cd1I2,3.26,,2,3.26,300,2,911,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.26'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
