32,B,,,1.27,,300.0,2,,4,3,U,,,116
33,B,,,1.38,,300.0,2,,2,5,D I,,,454
34,B,,,1.41,,300.0,2,,3,3,U,,,116
35,B,,,1.42,,300.0,2,,4,3,U,,,95
36,B,,,1.14,,300.0,2,,3,3,U,,,116
37,B,,,1.55,,300.0,2,,4,3,U,,,560
38,B 1 N,,,1 8.,,300.0,1,,0,3,I I,,WHITE,"677 CUBIC, CALCULATED, APW"
"",,,,,,,,,,,,,,METHOD.
39,B 1 N,,,1 3.4,,.0 .,2,,9,0,U,,,16
40,B 1 N,,,1 3.8,,300.0,2,,2,2,U,T,,517
41,B 2,0,,3 7.,,300.0,1,,,,,,,328
42,B 2,0,,3 4.9,,300.0,2,,8,2,U,,,417
43,B 1 P,,,1 2.,,300.0,1,,2,3,I I,,RED,33
44,B 1 P,,,1 2.,,300.0,2,,8,0,U,,,223
45,B 1,P,,1 2.,,300.0,2,,2,3,I I,,,665
46,B 1 P,,,1 5.9,,.0,2,,0,0,U,,,676
47,B 1 P,,,1 4.5,,300.0,2,,0,0,U,,,543
48,B 1,As,,1 1.46,,300.0,1,,2,4,U,,DKBROWN,383 CUBIC.
49,B I,As,,1 1.6,,.0,2,,,,I I,,,"597 CALCULATED, SCOPW METHOD."
50,B 1,As,,1 3.56,,.0,2,,,,D I,,,"597 CALCULATED,SCOPWMETHOD."
51,B 2,Se,,3,,.0,2,,,,,,ORANGE,157
52,B 1 Sb,,,1 2.6,,300.0,1,,0,0,U,,,126
53,C,,,5.47,,295.0 -5.40e-05,1,,2,3,I I,EPT,COLORLESS,144
54,C,,,7.02,,295.0 -6.30e-04,1,,1,3,D I,EPT,COLORLESS,144
55,C,,,5.413,,90.0,2,,3,3,E,,,178
56,C,,,5.493,,90.0,2,,3,3,E,,,178
57,C,,,5.503,,90.0,2,,3,3,I I,,,178
58,C,,,5.542,,90.0,2,,3,3,E,,,178 NATURAL DIAMOND.
59,C,,,5.41,,100.0,2,,2,3,E,P,,154 .
60,(.;,,,6.,,.0,:l,,9,0,D I,,,500 TRANSITION G25 - > G 15.
61,C 1 Br,,,4 3.7,,300.0,1,,2,4,U,,,601
62,C 1 I,,,4 2:26,,300.0,1,,2,4,U,,,601
63 Na,,N,,,,.0,2,,,,,T,,356
64,Na 1 F,,,1 10.5,,300.0,1,,0,0,U,,,198
65,Na 2,S,,1 2.4,,300.0,1,,9,0,U,,,602
66,Na 1 CI,,,1 8.97,,300.0,1,,2,3,DD,,,485 TRANSITION GIS -> G1.
67,Na 1 CI,,,1 8.5,,55.0,2,,1,3,DD,,,54 G EDGE.
68,Na 1,CI,,1 8.6,,55.0,2,,1,3,U,,,55 GEDGE.
69,Na 1 Cl,,,1 8.97,,77.0,2,,1,3,DD,,,534 TRANSITION GIS -> G1.
70,Na 1 CI,,,I 8.4,,80.0,2,,2,3,DD,,,501 THAN~lTION GI5 -> G1.
71,Na 1 CI,,,1 8.6,,80.0,2,,2,3,U,,,198
72,Na 2,Se,,1 2.,,300.0,1,,9,0,U,,,602
73,Na I,Br,,1 7.5,,80.0,1,,2,3,DD,,,501 TRANSITION GIS -> G1.
74,Na 1 Br,,,1 7.26,,55.0,2,,1,3,U,,,55 GEDGE.
75,Na 1 Br,,,1 7.025,,77.0,2,,1,3,E,,,433
76,Na 1 Br,,,1 7.7,,80.0,2,,2,3,U,,,198 ABSORPTION EDGE.
77,Na 3,Sb,,1 1.1,,300.0,1,,2,2,DFD,,,588
78,Na 3,Sb,,1 1.1,,300.0,2,,2,3,U,P,,586
79,Na 3,Sb,,1 1.1,,300.0,2,,3,0,U,,,587 HEXAGONAL.
"",1 2,3,,4,5,6 7,8,,9,10,II,12,13,14 15
Entry,Compound,,,,E(g),Temp. dE/dT,R,,By,On,Tr,Effect,Color,Ref Comment
No.,,,,,(eV),(Kelvin) (eV/Deg),,,,,,,,
80,Na 3 Sb,,,1,1.17,250.0,2,,4,3,U,,,722
81,Na 3,Sh,,1,1.,3oo.U,2,,3,2,I I,,,321
S2,Na· 3,Sb,,I,2.2,300.0,2,,2,2,D I,,,321
83,Na 2 Te,,,1,2.3,355.0,1,,4,4,U,,,477
84 Na,2 Te,,,I,2.,300.0,2,,9,0,U,,,602
85 Na,I,I,,I,5.890,77.0,1,,I,3,U,,,433
86 Na,I,I,,I,6.,5.8,2,,2,3,U,,,198 ABSORPTION EDGE.
87,Na I,I,,I,5.93,55.0,2,,I,3,U,,,55 GEDGE.
88 Na,I,I,,I,5.8,80.0,2,,2,3,U,,,607 ABSORPTION EDGE.
89 Na,I,I,,I,6.75,80.0,2,,2,3,D D,,,501 TRANSITION GIS -> G1.
90,Mg 1,0,,I,7.77,295.0,I,,I,3,D D,CPT,COLORLESS,533
91,Mg 10,,,1,7.69,295.0,2,,1,3,E,,,533
92,Mg 1 0,,,1,7.4,300.0,2,,2,3,U,EPT,,336
93,Mg I,F,,2,11.8,300.0,1,,1,3,E,,,678
94 Mg,1 F,,,2,11.1,77.0,2,,2,3,U,,,313 ABSORPTION EDGE.
QS,Mg 1 F,,,2,10.8,300.0,2,,2,3,U,,,313 ABSORPTION EDGE.
96 Mg,1 F,,,2,5.65,300.0,2,,4,3,U,,,656 ACTIVATION ENERGY.
97,Mg 1 F,,,2,,.0,2,,,,,PT,,"119 K(LO) 4.84, K(HI) .00."
98,Mg 1 F,,,2,,.0,2,,,,,,,"593 K(LO) .00, K(HI) .95."
99,Mg 1 F,,,2,,.0,2,,,,,,,"192 K(LO) =. 5.26, K(HI) .00."
100 Mg,2,Si,,1,_6,300.0,J,,<),4.,T T,,,679
101,Mg 2,Si,,1,2.27,300.0,I,,5,3,D I,,,36
102,Mg 2,Si,,1,.77,.0 -6.00e-04,2,,4,4,I I,,,679
103,Mg 2,Si,,1,.78,.0,2,,4,3,U,,,456
104,Mg 2,Si,,1,.655,15.0,2,,3,3,I I,,,592
105,Mg 2,Si,,1,2.17,77.0,2,,1,3,DAI,,,648 TRANSITION GI5 -> Gl.
106,Mg 2,Si,,1,.66,90.0,2,,2,3,I I,,,592
107,Mg 2,Si,,I,2.27,300.0,2,,5,3,DAI,,,648 TRANSITIONG15 -> Gl.
108,Mg 3,P,,2,1.4,300.0,1,,9,0,U,,,602
109,Mg 1 CI,,,1,,.0,2,,,,,P,,474
IlO Mg,2,Ge,,1,.532,300.0 -l.SOe-04,1,,2,3,I I,,,40B
III Mg,2,Ge,,1,1.64,300.0,1,,5,3,DAI,P,,648 TRANSITION GIS -> Gl.
112,Mg 2,Ge,,1,.69,.0,2,,4,3,I I,,,522
113,Mg 2,Ge,,1,.57,4.2 -1.80e-04,2,,2,3,I I,,,408
114,Mg 2,Ge,,1,1.804,10.0,2,,8,3,D I,,,437
IlS Mg,2,Co,,1,.66,15.0,2,,3,3,I I,,,592
116,Mg 2 Ge,,,I,.567,77.0 -1.80e-04,2,,2,3,I I,,,40S
117,Mg 2,Ge,,1,.57,77.0,2,,8,3,I I,,,437
U8 Mg,2,Ge,,I,1.67,77.0,2,,1,3,DAI,P,,648 TRANSITION GIS -> Gl.
119,Mg 2,Ge,,1,1.78,77.0,2,,S,3,D I,,,437
120,Mg 2,Ge,,1,.63,90.0,2,,3,3,I I,,,592
121,Mg 2,Ge,,I,.54,195.0,2,,8,3,I I,,,437
122,Mg 2,Ge,,1,1.737,196.0,2,,8,3,D I,,,437
123,Mg 2,Ge,,1,.548,300.0,2,,2,3,I I,,,437
124,Mg 2,Ge,,1,1.64,300.0,2,,5,0,D I,,,36
125,Mg 2,Ge,,1,.74,.0 -8.00~-04 2,,,4,4,I I,,,679
126,Mg 3,As,,2,2.55,300.0,I,,4,4,U,,BROWN,509 VALUE VARIES: 2.2-2.9 EV.
127,Mg 3,As,,2,1.,300.0,2,,9,0,U,,,602
128,Mg 1 Se,,,1,5.6,70.0,1,,2,3,U,,,546
129,Mg 1 Se,,,I,5.63,90.0,2,,2,2,U,,,451
130,Mg I,Se,,1,5.6,300.0,2,,0,0,U,,,126
131,Mg 2,Sn,,I,.135,296.0 -1.70e-04,I,,2,3,I I,,,404
132,Mg 2,Sn,,1,.IS,296.0 -1.70e-04,1,,1,3,DFI,,,404
133,Mg 2,Sn,,1,.185,.0,2,,2,3,I I,,,404
134,Mg 2,Sn,,1,.23,.0,2,,2,3,DFI,,,404
135,Mg 2,Sn,,1,.34,.0,2,,4,4,U,,,690
136,Mg 2,Sn,,1,".36,",.0 -3.00e-04,2,,4,4,I I,,,679
137,Mg 2,Sn,,1,.33,5.0,2,,2,3,I I,,,90
138 Mg,2,Sn,,1,.31,85.0 -3.50e-04,2,,2,3,I I,,,90
139,Mg 2,Sn,,1,.22,300.0 -3.S0e-04,2,,2,3,I I,,BLUISH,90
140,Mg 3,Sh,,2,.82,.0 -3.5Ue-U4,1,,4,4,U,,,1:l3
141,Mg 3,Sb,,2,.S,.0,2,,3,2,U,,,457
142,Mg 1 Te,,,1,4.7,300.0,1,,0,0,U,,,126
143,Mg 1 Te,,,I,3.6,70.0,2,,2,3,U,,,546
144 Mg,2 Pb,,,1,.041,77.0 -5.00e-OS,I,,4,3,V,,,359
145,Mg 2,Pb,,1,.1,300.0,2,,4,4,U,,,239
146,Mg 2,Ph,,1,.1,300.0,2,,9,0,U,,,602 METALLIC.
147,Mg 3,Bi,,2,.1,300.0,1,,9,0,V,,,602 PROBABLY METALLIC.
148,Mg 3,Bi,,2,.1,300.0,2,,4,4,V,,,452 APPROXIMATE VALVE.
149,Al 1,B,,1,.82,300.0,1,,4,3,V,,BLUE,135 ACTIVATION ENERGY.
150,Al 1 B,,,1,.5,300.0,2,,4,3,U,,BROWN,135 ACTIVATION ENERGY.
151,Al,B,,,.74,400.0,2,,4,3,U,,BROWN,136 ACTIVATION ENERGY.
152,Al 1,N,,1,5.74,300.0,I,,2,3,D I,EPT,WHITE,496 POLARIZED E II C.
153,Al 1,N,,1,5.88,300.0,2,,2,3,D I,EPT,WHITE,496 POLARIZED E 1- C.
154 Al,1,N,,1,5.9,300.0,2,,2,3,U,,,150
155,Al 1,N,,1,5.9,300.0,2,,2,3,U,EPT,WHITE,200
156,Al 20,,,3,9.5,300.0,1,,2,3,E,,,31
157,Al 20,,,3,9.9,300.0,1,,2,3,U,,,31 ABSORPTION EDGE.
158,Al 2,0,,3,8.7,300.0,2,,2,3,U,,,524
159,Al 2,0,,3,8_56,_0 -LSOe-03,2,,0,3,V,,,284
"",I 2,3,,4 5,,6 7,,8,9,10,11,12,13,14,IS
Entry,Compound,,,E(g),,Temp. dE/dT,,R,By,On,Tr,Effect,Color',Ref,Comment
No.,,,,(eV),,(Kelvin) (eV/Deg),,,,,,,,,
160 Al,2 0,,,3 7.,,300.0,,2,3,3,U,,,295 SAPPHIRE.,
161,Al 2,0,,3 7.3,,300.0,,2,4,2,U,,,217 SAPPHIRE.,
162,Al I,P,,I 2.45,,300.0,,I,2,3,I I,,,407,
163,Al I,P,,I 2.51,,6.0,,2,2,3,E,,,306,
164 Al,I,P,,1 2.42,,293.0 -4.ooe-04,,2,8,4,U,P,,264,
165,Al 1 P,,,I 2.65,,300.0,,2,9,3,U,EP,YELLOW,439,
166,Al 2 S,,,3 4.1,,300.0 -l.15e-03,,1,2,0,U,,WHITE,349,
167,Al I,As,,I 2.1,,300.0,,I,0,3,I I,,,436,
168,Al I,As,,I 2.9,,300.0,,1,0,3,D I,,ORANGE,436,
169,Al 1 As,,,I 2.25,,.0 -4.00e-04,,2,8,3,U,E,,364,
170 Al,1 As,,,1 2.228,,2.0,,2,2,4,E,,,407 TRANSITION Gl -> Xl.,
171,Al 1 As,,,1 2.223,,77.0,,2,2,4,E,,,407 TRANSITION Gl -> Xl.,
172 Al,1 As,,,"1 "" 2.205",,145.0,,2,2,4,E,,,407 TRANSITION Gl-> Xl.,
173,Al 1 As,,,1 2.13,,300.0 -4.ooe-04,,2,8,3,U,E,,364,
174,Al 1 As,,,1 2.16,,300.0,,2,2,3,I I,,,407,
175,Al 1 As,,,1 2.2,,300.0,,2,2,2,I I,,,444,
176,Al 1,As,,1 3.5,,300.0,,2,,,D I,,,444,
177,Al 1 As,,,1 2.233,,77.0,,2,2,3,I I,,,407,
178,Al I,As,,1 2.215,,145.0,,2,2,3,I I,,,407,
179,Al 2 Se,,,3 3.1,,300.0 -l.12e-03,,1,2,0,U,,WHITE,349,
180,Al 1 Sb,,,1 1.62,,300.0,,I,1,3,I I,,DKGREY,131,
181,Al 1,Sb,,1 2.218,,300.0,,1,1,:5,D I,,UK (;KEY,131,
182,Al 1 Sb,,,I 1.62,,300.0 -3.50e-04,,2,1,3,D D,,,221,
183,Al 1 Sb,,,1 1.6,,.0,,2,0,3,U,P,DKGREY,131,
184,Al 2 Te,,,3 2.5,,300.0,,1,2,0,U,,,349,
185,Al 2 Te,,,·3 2.5,,300.0,,2,4,6,U,,YELLOW,446,
186,Al 2 Te,,,3 2.2,,800.0,,2,4,6,U,,YELLOW,446,
187,Al 1 Bi,,,1 .4,,"300.0 ,",,1,9,0,U,,,602,
188,Si 1 C,,,1 2.2,,300.0,,1,2,3,I I,,YELLOW,499 CUBIC.,
189,Si 1 C,,,1 2.86,,300.0 -3.30e-04,,1,2,3,I I,,,142 HEXAGONAL.,
190,Si 1 C,,,1 2.39,,4.2,,2,2,3,E,,,141 CUBIC.,
191,Si 1 C,,,1 2.6,,300.0,,2,2,3,I I,,YELLOW,708 CUBIC.,
192,Si 1 C,,,1 2.86,,300.0,.,2,2,3,I I,EPT,,499 HEXAGONAL.,
193,Si 1 C,,,1 3.33,,4.2,,2,2,3,I I,EPT,,497 HEXAGONAL.,
194,Si 1 C,,,1 4.4,,300.0,,2,9,3,D I,,,339 HEXAGONAL.,
195,Si 3,N,,4 5.,,300.0,,1,8,0,U,,,703,
196,Si 3,N,,4 5.1,,300.0,,2,2,1,U,,,251,
197,Si 3,N,,4 4.S,,300.0,,2,2,5,U,,,109,
198,Si 1 0,,,2 11.,,300.0,,1,1,3,U,EMPT,,405,
199,Si 1 0,,,2 10.4,,300.0,,2,1,3,E,,,405,
200,Si 1 0,,,2 8.,,300.0,,2,2,5,I I,,,"313 FUSED QUARTZ, ABSORPTION",
"",,,,,,,,,,,,,,EDGE.,
201,Si 1 0,,,2 8.4,,300.0,,2,2,3,U,,,"313 SYNTHETIC QUARTZ,",
"",,,,,,,,,,,,,,ABSORPTION EDGE.,
202,Si,,,1.12,,291.0,,1,2,3,I I,,,415,
203,Si,,,1.166,,4.2,,2,B,3,II,,,207,
204,Si,,,1.17,,4.2,,2,2,3,I I,,,415,
205,Si,,,1.165,,35.0,,2,2,3,I I,,,57,
206,Si,,,1.16,,77.0,,2,2,3,I I,,,415,
207,Si,,,1.16,,85.0,,2,2,3,I I,,,57,
208,Si,,,1.12,,300.0,,2,2,3,I I,,,57,
209,Si I,P,,2 1.89,,300.0,,1,2,3,U,,,591 ORTHORHOMBIC.,
210,Si I,As,,1 1.45,,300.0,,1,2,3,I I,,,443 POLARIZED E,.1 B.
211,Si 1 As,,,1 1.48,,300.0,,2,2,3,DFD,,,443 POLARIZED,E II B.
212,Si 1 As,,,1 l.S7,,300.0,,2,2,3,D I,,,443,
213,Si 1 As,,,1 2.2,,300.0,,2,2,3,U,,,322,
214,Si 1 Se,,,2 1.72,,300.0,,1,2,3,I I,,,286 POLARIZED E,II C.
215,Si 1 Se,,,2 1.74,,300.0,,2,2,3,I I,,,286 POLARIZED E,.1. C.
216,Si 1 Sn,,,1 .59,,300.0,,1,0,0,U,,,126,
217,Si 2 Te,,,3 1.98,,300.0 -6.50e-04,,1,2,3,I I,,,649,
218,Si 1,Te,,2 1.85,,300.0,,1,2,3,I I,,,520,
219,Si 1 Te,,,2 2.18,,300.0,,1,2,3,D I,,,520,
220,Si 2 Te,,,3 2.,,300.0,,2,2,3,U,,RED,53,
221,P,,,.33,,300.0 2.80e-04,,1,1,3,U,P,BLACK,571,
222,P,,,1.6,,300.0,,1,1,3,U,P,RED,571,
223,P,,,1.4,,300.0,,2,2,3,U,,RED,274,
224,P,,,.35,,300.0 2.80e-04,,2,4,3,U,,,667,
225,P,As,,.23,,300.0,,1,4,5,U,,,103 36 TO 50 % PHOSPHORUS.,
226,S,,,3.82,,300.0,,1,3,3,U,,,"438 A-PHASE, ORTHORHOMBIC.",
227,S,,,4.2,,300.0,,2,1,3,DD,P,,"584 A-PHASE, ORTHOR}lOMBIC,",
"",,,,,,,,,,,,,,VALUE VARIES: 4.2-4.3 EV.,
228,S,,,3.82,,300.0,,2,3,3,U,,,"619 A-PHASE, ORTHORHOM~IC.",
229,K 1 F,,,1 10.9,,300.0,,1,1,3,DD,,,530 TRANSITION GIS -> G1.,
230,K 1 F,,,1 10.9,,80.0,,2,2,3,U,,,198 ABSORPTION EDGE.,
231,K I,F,,1 9.61,,293.0,,2,1,3,E,,,594,
232,K 1 F,,,1 10.3,,"~,:}3.0",,l,1,3,DD,,,":',:}4 TRANSITION G1:' -> (;,1.",
233,K 2 S,,,1 2.1,,300.0,,1,9,0,U,,,602,
234,K 1 CI,,,1 8.S,,80.0,,1,2,3,DD,,,501 TRANSITION GIS -> G1.,
235,K 1 CI,,,1 8.9,,10.0,,2,3,1,U,,,305,
236,K 1 CI,,,1 7.8,,55.0,,2,1,3,E,,,54,
"",I 2,3,,4,5,6 7,,8,9,10,11,12,13,14 15
Entry,Compound,,,,E(g),Temp. dE/dT,,R,By,On,Tr,Effect,Color,Ref Comment
No.,,,,,(eV),(Kelvin) (eV/Deg),,,,,,,,
237,K 1 Cl,,,1,8.69,77.0,,2,1,3,DD,P,,534 TRANSITION G15 -> G1.
238,K 1,Cl,,1,7.68,300.0,,2,1,3,E,,,8(i
239,K 2,Se,,1,1.8,300.0,,1,9,0,U,,,602
240 K,1 Br,,,1,7.6,300.0,,1,2,3,DD,,,502 TRANSITION G15 -> G1.
241,K 1 Br,,,1,8.,10.0,,2,3,2,U,,,305
242,K 1 Br,,,1,7.3,20.0,,2,2,3,DAD,P,,227 TRANSITION G8- -> G6+.
243,K 1 Br,,,1,6.75,55.0,,2,1,3,E,,,54
244 K,I,Br,,I,7.215,78.0,,2,1,3,E,,,625 TRANSITION GS- -> G6+.
245,K 1 Br,,,1,7.76,80.0,,2,2,3,D D,,,502 TRANSITION GIS -> Gl.
246,K 1 Br,,,1,6.S8,300.0,,2,1,3,E,,,86
247,K 1 Br,,,1,7.13,300.0,,2,1,3,E,,,86
248,K 3,Sb,,I,1.8,300.0,,1,2,2,D I,,,"321 HEXAGONAL, VALUE VARIES:"
"",,,,,,,,,,,,,,1.7-1.9 EV.
249,K 3,Sb,,1,1.,300.0,,1,4,2,I I,,,321
250 K,3 Sb,,,1,1.4,300.0,,1,2,3,U,,,578 CUBIC.
251,K 3 Sb,,,1,1.1,300.0,,2,3,2,U,,,587 HEXAGONAL.
252,K 3 Sb,,,I,1.1,300.0,,2,2,2,"UI""U",,,588
253,K 3 Sb,,,1,1.1,300.0,,2,2,2,U,,,586
254,K 2 Te,,,1,1.9,300.0,,1,9,0,U,,,602
255,K 1 I,,,1,6.17,300.0,,1,1,3,DD,,,625 TRANSITION G8- - > G6+.
256 K,1 I,,,1,6.31,10.0,,2,2,3,DD,,,514
257,K 1 I,,,1,6.25,55.0,,2,1,3,DD,P,,54 G EDGE.
258,K 1 I,,,1,6.375,78.0,,2,1,3,DD,,,625
259,K 1 I,,,1,6.08,80.0,,2,2,3,DD,,,502 TRANSITION G15 -> G1.
260,K 1 I,,,1,6.2,80.0,,2,2,3,U,,,198 ABSORPTION EDGE.
261,K 1 I,,,1,6.2,80.0,,2,2,3,U,,,607 ABSORPTION EDGE.
262,K 1 I,,,1,5.61,300.0,,2,1,3,DD,,,86 TRANSITION GIS ->G1.
263,K I,I,,1,5.92,300.0,,2,2,3,DD,,,502 TRANSITION GIS -> G1.
264,K 1 I,,,1,6.28,300.0,,2,2,3,U,,,112
265,Ca 1 B,,,6,4.5,300.0,,1,1,3,U,,,361
266,Ca 1 B,,,6,4.4,.0,,2,9,0,U,,,406
267,Ca I,B,,6,3.3,300.0,,2,1,3,U,,,361 UNCERTAIN ABOUT TRANSITION
"",,,,,,,,,,,,,,INVOLVED.
268,Ca 1 0,,,1,7.7,300.0,,1,9,3,U,,,238
269,Ca 1 0,,,1,6.1,300.0,,2,2,3,E,PT,WHITE,464
270,Ca I,0,,1,7.,300.0,,2,2,3,E,,,238
271,Ca 1 0,,,1,7.03,300.0,,2,1,3,E,,,673
272,Ca 1 0,,,1,7.5,300.0,,2,9,3,U,PT,WHITE,464
273,Ca 1 F,,,2,10.,300.0,,1,2,3,U,,,"313 ABSORPTION EDGE, SEE ALSO"
"",,,,,,,,,,,,,,"SOY. PHYS.-SOLID STATE, 11,"
"",,,,,,,,,,,,,,1505 (1970).
274,Ca 2 Si,,,1,1.9,300.0,,1,4,4,U,,,"124 SEE ALSO ADVAN. PHYS., 5,315"
"",,,,,,,,,,,,,,(1956).
275,Ca 1 S,,,1,5.8,300.0,,1,2,2,U,EPT,,399 ESTIMATED VALUE: 5.8-6.2 EV.
276,Ca 1 S,,,1,S.38,70.0,,2,2,2,U,EPT,BROWN,546
277,CSl 1,Sf>,,1,4.J17,770,,1,2,'),IT,F.,YF.T.T.OW,546
278,Ca 2 Sn,,,1,.9,300.0,,1,4,4,U,,,"145 SEE ALSo' ADVAN. PHYS., 5,315"
"",,,,,,,,,,,,,,(1956).
279,Ca 1 Te,,,1,4.07,70.0,,1,2,2,U,P,WHITE,546
280,Ca 1 I,,,2,5.98,77.0,,1,2,2,E,,,627
281,Ca 2,Ph,,1,A6,300.0,,1,.-1,.-1,U,,,121 ACTIVATION ENERCY.
282,Sc 1 N,,,1,2.6,.0,,1,9,0,U,,,553
283,Sc 2 0,,,3,6.,300.0 -9.60e-04,,1,2,3,U,EP,,622
284,Sc 2 0,,,3,6.2,80.0 -9.6Oe-04,,2,2,3,U,EP,,622
285,Sc 2 0,,,3,5.4,300.0,,2,1,4,U,,,147
286,Sc 2 0,,,3,1.7,873.0,,2,4,4,U,,,473 ACTIVATION ENERGY.
287,Sc 2,S,,3,2.,300.0,,1,4,3,U,,,181
288,Ti,C,,,.3,293.0,,1,7,0,U,,,247 TI 1.0 - C 0.9.
289 Ti,2 0,,,3,.02,4.2,,1,8,0,U,,,300 VALUE VARIES: 0.02-0.06 EV.
290,Tj 1 0,,,2,3.,296.0,,1,5,3,I 1,,,47 RUTILE.
29l,Ti 1,0,,2,3.3,296.0,,1,5,3,D 1,,,47 RUTILE.
292,Ti 2,0,,3,.02,4.2,,2,0,3,U,,,299 QUESTIONABLE VALUE.
293,Ti 20,,,3,.050,180.0,,2,4,3,,,,138
294 Ti,1 0,,,2,3.05,300.0,,2,3,3,U,,,153
295,Ti 1 0,,,2,3.5,300.0,,2,5,3,DD,,,228
296 Ti,1,0,,2,3.75,300.0,,2,2,3,DD,,,664 RUTILE.
297,Ti 1 0,,,2,2.9,300.0,,2,2,3,U,,,"60 RUTILE, ABSORPTION EDGE."
298,Ti 1 S,,,2,1.24,300.0,,1,9,3,U,,,261 FROM FIGURE 8.
299 Ti,2,S,,3,.3,300.0,,1,4,4,U,,,542
300 Ti,I,S,,3,.9,300.0,,1,2,0,U,,,265
301,Ti 1 S,,,2,1.95,300.0,,2,1,3,U,,,261 El REFLECTION PEAK.
302,Ti 1 Cl,,,3,,300.0,,2,2,3,U,,,56
303,Ti 1 Se,,,2,.69,300.0,,1,9,3,U,,,261 FROM FIGURE 8.
304 Ti,1 Se,,,2,1.55,300.0,,2,1,3,U,,,261 El REFLECTION PEAK.
305 Ti,1 Te,,,2,1.,300.0,,1,I,3,U,,,261 El REFLECTION PEAK.
306,V 1,0,,1,.3,.0,,1,9,0,U,,,11
307,V 2 0,,,3,.1,77.0,,1,2,3,U,,,215
308,V 20,,,5,2.34,300.0,,1,2,3,DFD,,,357 POLARIZED II C.
309 V,1 0,,,2,.65,300.0,,1,2,3,U,,,74 VALUE VARIES: 0.6-0.7 EV.
310,V 20,,,4,.66,300.0,,1,2,3,U,,,388
"",I 2,3,,4,5,6 7,,8 9,10,,11,12,' 13,14 IS
Entry,Compound,,,,E(g),Temp. dEJdT,,R By On,,,Tr,Effect,Color,Ref Comment
No.,,,,,(eV),(Kelvin) (eV/Deg),,,,,,,,
311,V 5,0,,9,0.15,100.0,,1 4,3,,V,,,"481 ACTIVATION ENERGY, V ARIES:"
"",,,,,,,,,,,,,,0.1-0.2 EV.
312,V 40,,,7,.8,200.0,,I 4,3,,V,,,480 ACTIVATION ENERGY.
313,V 20,,,5,2.49,.0 -6.1Oe-04,,2' 2,3,,DFD,,,92 POLARIZED Ell C.
314 V,20,,,5,2.54,.0 -7.30e-04,,2 2,3,,DFD,,,92 POLARIZED E..L C.
315,V 20,,,5,2.3,300.0 -6.10e-04,,2 2,3,,DFD,,,92 POLARIZED Ell C.
316 V,2,0,,5,2.36,300.0,,2 2,3,,DFD,,,357 POLARIZED. E ..LC.
317 V,I,0,,2,.4,300.0,,2 2,3,,U,,,448
